pts,crf_ref,encode_order,intra_qp_ref,intra_total_bits,intra_y_psnr,intra_u_psnr,intra_v_psnr,intra_yuv_psnr,intra_ssim,intra_ssim_db,intra_total_time,poc,inter_qp_ref,inter_total_bits,inter_y_psnr,inter_u_psnr,inter_v_psnr,inter_yuv_psnr,inter_ssim,inter_ssim_db,inter_total_time,ctu_intra_pct,ctu_merge_pct,ctu_skip_pct,ctu_inter_pct
2300000,28,138,3368,381168,38312,43755,43249,39610,956197,13585,30180,138,3028,59944,39932,46011,45388,41374,970915,15363,3020,2.07,60.94,5.94,31.05
2316667,28,139,3370,381352,38286,43699,43167,39573,955987,13564,33460,139,3001,67792,39936,45933,45336,41360,970925,15365,3150,5.7,54.66,7.74,31.9
2333333,28,140,3370,382088,38300,43608,43084,39562,955916,13557,49930,140,3148,48896,39692,45847,45268,41159,969787,15198,3120,2.26,64.59,6.49,26.66
2350000,28,141,3371,382736,38320,43646,43121,39586,956358,13601,29870,141,3086,50936,39833,45909,45336,41280,970573,15313,3130,2.66,64.25,6,27.09
2366667,28,142,3372,381544,38272,43607,43162,39550,955846,13550,34950,142,3039,58168,39855,45903,45343,41297,970592,15315,3170,2.95,61.6,7.35,28.1
2383333,28,143,3373,382960,38263,43643,43166,39548,955916,13557,52730,143,3005,70112,39919,45891,45305,41339,970803,15347,3280,2.97,57.81,7.37,31.85
2400000,28,144,3372,380960,38274,43719,43174,39567,955537,13520,30870,144,3159,50016,39640,45824,45223,41111,969587,15169,3400,3.4,67.14,4.83,24.63
2416667,28,145,3374,383544,38262,43602,43127,39537,955557,13522,30840,145,3055,58624,39796,45848,45262,41236,970350,15280,3150,3.49,62.94,5.8,27.77
2433333,28,146,3374,384088,38242,43619,43171,39530,955285,13495,42540,146,3040,63184,39847,45841,45276,41275,970476,15298,3260,3.86,59.35,7.43,29.36
2450000,28,147,3375,384528,38234,43631,43079,39514,955137,13481,21150,147,3031,66568,39831,45845,45273,41263,970357,15281,3170,3.74,58.78,7.33,30.15
2466667,28,148,3374,382216,38288,43555,43119,39550,955540,13520,31180,148,3122,50544,39633,45778,45227,41100,969467,15152,3320,3.27,62.57,6.57,27.59
